id,domain,severity,state,title,evidence,impact,required_action,tools_methods,acceptance_predicate
GOV-001,Governance,P0,UNVERIFIED_BLOCKER,Немає формальної production authorization,"Operational gate explicitly records production_authorized=false; немає risk owner, SSP/ATO або підписаного рішення про прийняття ризику.",Запуск без юридично та організаційно визначеного власника ризику.,"Призначити system owner, data owner, security owner; створити authorization package і signed go/no-go.",NIST AI RMF; NIST RMF/SSP; threat-model workshop,"Підписаний authorization decision, scope, residual-risk register і expiry date."
GOV-002,Governance,P0,UNVERIFIED_BLOCKER,Немає use-case-specific AI risk profile,"Є загальні assurance-документи, але немає операційного профілю Govern→Map→Measure→Manage для конкретного військового застосування.","Ризики оцінюються без визначеного контексту, шкоди, користувачів і допустимої помилки.","Створити AI system card, context map, harm model, risk appetite, human-oversight policy.",NIST AI RMF / AIRC playbook,"Кожен risk має owner, metric, control, evidence і review cadence."
GOV-003,Governance,P0,UNVERIFIED_BLOCKER,Немає затвердженої класифікації та правил обробки даних,"Реальний корпус 5 960 файлів у release відсутній; classification guide, marking rules і handling matrix не надані.",Можливий незаконний або небезпечний витік обмеженої інформації.,"Провести inventory, rights/classification review, labeling, compartment mapping, retention/declassification rules.",Data inventory; DLP; classification workshop; legal review,"100% corpus objects мають owner, class, rights, retention, releasability і access policy."
GOV-004,Governance,P0,UNVERIFIED_BLOCKER,"Немає незалежного TEVV, pentest і red-team",Усі наявні докази створені самим репозиторієм; зовнішнього аудитора й blind tests немає.,Self-confirming assurance: одна й та сама модель помилок у коді й тестах.,"Незалежний code review, API/cloud pentest, AI/RAG red-team, corpus poisoning exercise.",OWASP ASVS/API Top 10; OWASP GenAI; MITRE ATLAS; NIST Dioptra,Незалежний звіт без відкритих P0/P1 та з повторною перевіркою remediation.
GOV-005,Governance,P0,UNVERIFIED_BLOCKER,Немає офіційної моделі предметної відповідальності,"Review separation перевіряє лише різні subject strings; кваліфікації, повноваження, конфлікти інтересів і підпис рішення відсутні.",Неавторитетний reviewer може легалізувати неправильний документ.,"Registry reviewers/approvers, credential verification, COI policy, dual control, signed decisions.",PKI/e-sign; reviewer registry; workflow engine,Кожне approval криптографічно прив’язане до уповноваженої ролі та scope.
GOV-006,Governance,P0,CONDITIONAL_RISK,"Права на індексацію, OCR, цитування й передачу документів не доведені","Source hash доводить байти, але не license, copyright, distribution authority або право надсилати текст зовнішньому embedding provider.",Юридичне блокування продукту та disclosure третім сторонам.,Провести rights clearance; заборонити external egress для неочищених класів.,Legal/IP review; data-processing agreements,Для кожного джерела зафіксовані дозволені операції та заборони.
IAM-001,Identity & Access,P0,VERIFIED_DEFECT,Небезпечний secure-by-default: dev auth дає restricted admin,"Settings defaults: environment=local, auth_mode=dev, subject local-admin, усі привілейовані ролі, clearance=restricted.",Помилка deployment-конфігурації запускає систему з повним самопризначеним доступом.,Заборонити dev auth у packaged runtime; вимагати explicit DEV_MODE acknowledgment і loopback-only binding.,Pydantic discriminated settings; policy-as-code; negative startup tests,Будь-який non-test start без OIDC/explicit local override завершується exit!=0.
IAM-002,Identity & Access,P0,VERIFIED_DEFECT,Production web-клієнт не реалізує OIDC,public/app.js викликає /v1/answers без Authorization; UI працює лише з dev auth або зовнішньою ручною інʼєкцією токена.,Користувач не може безпечно автентифікуватися в production.,"Реалізувати Authorization Code + PKCE, secure token handling/BFF, logout, expiry/refresh/error states.",OIDC conformance suite; Playwright; BFF pattern,End-to-end OIDC login/logout/expiry/revocation проходить у staging.
IAM-003,Identity & Access,P0,VERIFIED_DEFECT,Привілеї напряму довіряються довільним OIDC claims,"_identity_from_claims напряму приймає roles, clearance, corpora з токена без server-side entitlement map.",Помилка IdP/client mapping може видати admin/restricted доступ.,Ввести PDP/entitlement registry; allowlist claims; audience/client-specific mapping; deny unknown.,OPA/Cedar або власний PDP; contract tests,Підроблені/невідомі claims не підвищують доступ; mapping version audited.
IAM-004,Identity & Access,P0,CONDITIONAL_RISK,Модель доступу не виражає need-to-know/compartments,"AccessTier і Classification мають лише кілька рівнів; немає compartments, releasability, purpose, unit/mission, device posture.",Користувач із формальним рівнем може бачити нерелевантний обмежений корпус.,"Розширити ABAC: compartments/caveats, purpose-of-use, affiliation, device trust, temporal/location policy.",OPA/Cedar; policy decision logs; model checking,Набір cross-compartment noninterference tests PASS на DB і API.
IAM-005,Identity & Access,P1,VERIFIED_DEFECT,OIDC assurance неповний,"Verifier не вимагає acr/amr, azp, typ, jti; OIDC path не вимагає nbf; немає revocation/replay cache.","Використання слабкої автентифікації, replay або токена не того client context.","Вимагати phishing-resistant MFA assurance, typ/azp, jti replay policy, revocation/CAE за можливості.",OIDC conformance; token replay tests,Негативні тести для stale/replayed/wrong-client/low-assurance tokens PASS.
IAM-006,Identity & Access,P1,VERIFIED_DEFECT,"RLS залежить від session GUC, який встановлює застосунок",PostgreSQL policy context задається set_config з identity від API. Компрометований app role/process може спробувати встановити ширший context.,"RLS захищає від помилки query, але не від app compromise/SQL execution.",Винести authorization у signed session context або окремі DB roles; заборонити прямий SQL; перевірити role privileges.,PostgreSQL RLS tests; pgaudit; signed context,App role не може самостійно розширити effective claims навіть через довільний SQL.
IAM-007,Identity & Access,P1,UNVERIFIED_BLOCKER,Немає lifecycle entitlement/offboarding,"Не надано SCIM/HR source, deprovisioning SLA, periodic access review або stale-account tests.",Звільнений/переведений користувач зберігає доступ.,"SCIM/IdP lifecycle, quarterly recertification, emergency revoke.","SCIM, IdP logs, access review",Disable/revoke propagation виміряна та відповідає SLA.
IAM-008,Identity & Access,P1,UNVERIFIED_BLOCKER,Немає PAM/break-glass control,"Admin роль існує, але немає just-in-time elevation, approval, session recording, emergency credentials.",Постійний надмірний привілей і невідтворювані адміністративні дії.,"JIT/PAM, two-person approval, break-glass runbook, immutable session logs.",PAM/Vault; SIEM,"Усі privileged sessions attributable, time-bounded і reviewed."
ING-001,Ingestion & Parsers,P0,VERIFIED_DEFECT,Upload повністю буферизується в RAM,"_read_upload_limited збирає list[bytes] і b"""".join до 50 MB; concurrent ingestions множать memory pressure.",Memory exhaustion/DoS і подвійне копіювання payload.,Stream у quarantine object/file із incremental hash і hard quota; не зберігати повний bytes у RAM.,Streaming multipart; tempfile/object store; load tests,Peak RSS bounded під N concurrent max-size uploads.
