id,domain,severity,state,title,v5_status,v5_evidence,impact,required_action,tools_methods,acceptance_predicate,v5_remaining_acceptance
GOV-001,Governance,P0,UNVERIFIED_BLOCKER,Немає формальної production authorization,EXTERNAL_DEBT,,Запуск без юридично та організаційно визначеного власника ризику.,"Призначити system owner, data owner, security owner; створити authorization package і signed go/no-go.",NIST AI RMF; NIST RMF/SSP; threat-model workshop,"Підписаний authorization decision, scope, residual-risk register і expiry date.","Підписаний authorization decision, scope, residual-risk register і expiry date."
GOV-002,Governance,P0,UNVERIFIED_BLOCKER,Немає use-case-specific AI risk profile,MITIGATED_LOCAL,docs/governance/AI_SYSTEM_CARD_V5.md | docs/governance/RISK_REGISTER.md | docs/operations/TEVV_PLAN_V5.md,"Ризики оцінюються без визначеного контексту, шкоди, користувачів і допустимої помилки.","Створити AI system card, context map, harm model, risk appetite, human-oversight policy.",NIST AI RMF / AIRC playbook,"Кожен risk має owner, metric, control, evidence і review cadence.","Кожен risk має owner, metric, control, evidence і review cadence."
GOV-003,Governance,P0,UNVERIFIED_BLOCKER,Немає затвердженої класифікації та правил обробки даних,MITIGATED_LOCAL,apps/api/src/korpus/security/corpus_governance.py | apps/api/tests/test_corpus_governance.py | docs/governance/DATA_HANDLING_STANDARD_V5.md,Можливий незаконний або небезпечний витік обмеженої інформації.,"Провести inventory, rights/classification review, labeling, compartment mapping, retention/declassification rules.",Data inventory; DLP; classification workshop; legal review,"100% corpus objects мають owner, class, rights, retention, releasability і access policy.","100% corpus objects мають owner, class, rights, retention, releasability і access policy."
GOV-004,Governance,P0,UNVERIFIED_BLOCKER,"Немає незалежного TEVV, pentest і red-team",EXTERNAL_DEBT,,Self-confirming assurance: одна й та сама модель помилок у коді й тестах.,"Незалежний code review, API/cloud pentest, AI/RAG red-team, corpus poisoning exercise.",OWASP ASVS/API Top 10; OWASP GenAI; MITRE ATLAS; NIST Dioptra,Незалежний звіт без відкритих P0/P1 та з повторною перевіркою remediation.,Незалежний звіт без відкритих P0/P1 та з повторною перевіркою remediation.
GOV-005,Governance,P0,UNVERIFIED_BLOCKER,Немає офіційної моделі предметної відповідальності,MITIGATED_LOCAL,apps/api/src/korpus/security/reviewers.py | apps/api/migrations/versions/0009_reviewer_credentials.py | apps/api/tests/test_reviewer_registry.py,Неавторитетний reviewer може легалізувати неправильний документ.,"Registry reviewers/approvers, credential verification, COI policy, dual control, signed decisions.",PKI/e-sign; reviewer registry; workflow engine,Кожне approval криптографічно прив’язане до уповноваженої ролі та scope.,Кожне approval криптографічно прив’язане до уповноваженої ролі та scope.
GOV-006,Governance,P0,CONDITIONAL_RISK,"Права на індексацію, OCR, цитування й передачу документів не доведені",EXTERNAL_DEBT,,Юридичне блокування продукту та disclosure третім сторонам.,Провести rights clearance; заборонити external egress для неочищених класів.,Legal/IP review; data-processing agreements,Для кожного джерела зафіксовані дозволені операції та заборони.,Для кожного джерела зафіксовані дозволені операції та заборони.
IAM-001,Identity & Access,P0,VERIFIED_DEFECT,Небезпечний secure-by-default: dev auth дає restricted admin,CLOSED_LOCAL,apps/api/src/korpus/config.py | apps/api/tests/test_auth.py,Помилка deployment-конфігурації запускає систему з повним самопризначеним доступом.,Заборонити dev auth у packaged runtime; вимагати explicit DEV_MODE acknowledgment і loopback-only binding.,Pydantic discriminated settings; policy-as-code; negative startup tests,Будь-який non-test start без OIDC/explicit local override завершується exit!=0.,None inside the frozen local scope; external acceptance may still apply.
IAM-002,Identity & Access,P0,VERIFIED_DEFECT,Production web-клієнт не реалізує OIDC,MITIGATED_LOCAL,apps/api/src/korpus/security/browser_oidc.py | apps/api/tests/test_browser_oidc.py | apps/web/public/app.js,Користувач не може безпечно автентифікуватися в production.,"Реалізувати Authorization Code + PKCE, secure token handling/BFF, logout, expiry/refresh/error states.",OIDC conformance suite; Playwright; BFF pattern,End-to-end OIDC login/logout/expiry/revocation проходить у staging.,End-to-end OIDC login/logout/expiry/revocation проходить у staging.
IAM-003,Identity & Access,P0,VERIFIED_DEFECT,Привілеї напряму довіряються довільним OIDC claims,CLOSED_LOCAL,apps/api/src/korpus/security/entitlements.py | apps/api/tests/test_v5_security_kernel.py::test_entitlement_projection_ignores_privileged_token_claims,Помилка IdP/client mapping може видати admin/restricted доступ.,Ввести PDP/entitlement registry; allowlist claims; audience/client-specific mapping; deny unknown.,OPA/Cedar або власний PDP; contract tests,Підроблені/невідомі claims не підвищують доступ; mapping version audited.,None inside the frozen local scope; external acceptance may still apply.
IAM-004,Identity & Access,P0,CONDITIONAL_RISK,Модель доступу не виражає need-to-know/compartments,CLOSED_LOCAL,apps/api/src/korpus/domain/models.py | apps/api/src/korpus/infrastructure/repository.py | apps/api/tests/test_v5_security_kernel.py::test_compartment_noninterference_is_enforced_before_retrieval,Користувач із формальним рівнем може бачити нерелевантний обмежений корпус.,"Розширити ABAC: compartments/caveats, purpose-of-use, affiliation, device trust, temporal/location policy.",OPA/Cedar; policy decision logs; model checking,Набір cross-compartment noninterference tests PASS на DB і API.,None inside the frozen local scope; external acceptance may still apply.
IAM-005,Identity & Access,P1,VERIFIED_DEFECT,OIDC assurance неповний,MITIGATED_LOCAL,apps/api/src/korpus/security/oidc.py | apps/api/tests/test_v5_security_kernel.py::test_oidc_assurance_requires_acr_mfa_and_recent_authentication,"Використання слабкої автентифікації, replay або токена не того client context.","Вимагати phishing-resistant MFA assurance, typ/azp, jti replay policy, revocation/CAE за можливості.",OIDC conformance; token replay tests,Негативні тести для stale/replayed/wrong-client/low-assurance tokens PASS.,Негативні тести для stale/replayed/wrong-client/low-assurance tokens PASS.
IAM-006,Identity & Access,P1,VERIFIED_DEFECT,"RLS залежить від session GUC, який встановлює застосунок",MITIGATED_LOCAL,apps/api/migrations/versions/0003_infrastructure_hardening.py | apps/api/tests/test_postgres_integration.py | .gitlab-ci.yml::api:postgres-and-restore,"RLS захищає від помилки query, але не від app compromise/SQL execution.",Винести authorization у signed session context або окремі DB roles; заборонити прямий SQL; перевірити role privileges.,PostgreSQL RLS tests; pgaudit; signed context,App role не може самостійно розширити effective claims навіть через довільний SQL.,App role не може самостійно розширити effective claims навіть через довільний SQL.
IAM-007,Identity & Access,P1,UNVERIFIED_BLOCKER,Немає lifecycle entitlement/offboarding,MITIGATED_LOCAL,apps/api/src/korpus/security/entitlements.py | apps/api/tests/test_v5_security_kernel.py::test_entitlement_profile_digest_and_deny_list_are_fail_closed,Звільнений/переведений користувач зберігає доступ.,"SCIM/IdP lifecycle, quarterly recertification, emergency revoke.","SCIM, IdP logs, access review",Disable/revoke propagation виміряна та відповідає SLA.,Disable/revoke propagation виміряна та відповідає SLA.
IAM-008,Identity & Access,P1,UNVERIFIED_BLOCKER,Немає PAM/break-glass control,EXTERNAL_DEBT,,Постійний надмірний привілей і невідтворювані адміністративні дії.,"JIT/PAM, two-person approval, break-glass runbook, immutable session logs.",PAM/Vault; SIEM,"Усі privileged sessions attributable, time-bounded і reviewed.","Усі privileged sessions attributable, time-bounded і reviewed."
ING-001,Ingestion & Parsers,P0,VERIFIED_DEFECT,Upload повністю буферизується в RAM,CLOSED_LOCAL,apps/api/src/korpus/api/routes.py | apps/api/tests/test_infrastructure_hardening.py,Memory exhaustion/DoS і подвійне копіювання payload.,Stream у quarantine object/file із incremental hash і hard quota; не зберігати повний bytes у RAM.,Streaming multipart; tempfile/object store; load tests,Peak RSS bounded під N concurrent max-size uploads.,None inside the frozen local scope; external acceptance may still apply.
ING-002,Ingestion & Parsers,P0,VERIFIED_DEFECT,OCR/парсинг синхронні в API request,CLOSED_LOCAL,apps/api/src/korpus/application/ingestion_jobs.py | apps/api/src/korpus/infrastructure/ingestion_jobs.py | apps/api/tests/test_durable_ingestion_jobs.py,"Timeout, втрата роботи при restart, starvation API workers.","Durable queue/workflow, idempotency key, resumable states, cancellation, retry/dead-letter.",Temporal/Celery/Arq; Postgres job ledger,Crash/restart test завершує або безпечно повторює job без дублювання.,None inside the frozen local scope; external acceptance may still apply.
ING-003,Ingestion & Parsers,P0,VERIFIED_DEFECT,Немає malware scan/CDR до parser execution,CLOSED_LOCAL,apps/api/src/korpus/security/scanning.py | apps/api/tests/test_v5_security_kernel.py::test_ingestion_stops_before_parser_when_malware_scanner_rejects,Шкідливий документ атакує parser/toolchain.,"Quarantine service: magic sniffing, AV/YARA, CDR, parser sandbox; лише clean artifact далі.",ClamAV/YARA; CDR; sandboxed worker,EICAR/malformed/polyglot fixtures блокуються до extraction.,None inside the frozen local scope; external acceptance may still apply.
ING-004,Ingestion & Parsers,P0,VERIFIED_DEFECT,Untrusted PDF парситься в API trust domain,CLOSED_LOCAL,apps/api/src/korpus/infrastructure/parser_worker.py | apps/api/src/korpus/infrastructure/extraction.py | apps/api/tests/test_v5_security_kernel.py::test_parser_sandbox_setting_selects_isolated_parser,Parser RCE/DoS отримує доступ до API secrets/DB/network.,"Винести extraction у disposable no-network sandbox з seccomp/AppArmor, read-only FS, uid, cgroup quotas.",gVisor/Firecracker/Kubernetes sandbox; seccomp,Compromise simulation не бачить DB/IdP/S3 credentials і не має egress.,None inside the frozen local scope; external acceptance may still apply.
