id,domain,severity,state,title,v5_status,v5_evidence,impact,required_action,tools_methods,acceptance_predicate,v5_remaining_acceptance
GOV-001,Governance,P0,UNVERIFIED_BLOCKER,Немає формальної production authorization,EXTERNAL_DEBT,,Запуск без юридично та організаційно визначеного власника ризику.,"Призначити system owner, data owner, security owner; створити authorization package і signed go/no-go.",NIST AI RMF; NIST RMF/SSP; threat-model workshop,"Підписаний authorization decision, scope, residual-risk register і expiry date.","Підписаний authorization decision, scope, residual-risk register і expiry date."
GOV-002,Governance,P0,UNVERIFIED_BLOCKER,Немає use-case-specific AI risk profile,MITIGATED_LOCAL,docs/governance/AI_SYSTEM_CARD_V5.md | docs/governance/RISK_REGISTER.md | docs/operations/TEVV_PLAN_V5.md,"Ризики оцінюються без визначеного контексту, шкоди, користувачів і допустимої помилки.","Створити AI system card, context map, harm model, risk appetite, human-oversight policy.",NIST AI RMF / AIRC playbook,"Кожен risk має owner, metric, control, evidence і review cadence.","Кожен risk має owner, metric, control, evidence і review cadence."
GOV-003,Governance,P0,UNVERIFIED_BLOCKER,Немає затвердженої класифікації та правил обробки даних,MITIGATED_LOCAL,apps/api/src/korpus/security/corpus_governance.py | apps/api/tests/test_corpus_governance.py | docs/governance/DATA_HANDLING_STANDARD_V5.md,Можливий незаконний або небезпечний витік обмеженої інформації.,"Провести inventory, rights/classification review, labeling, compartment mapping, retention/declassification rules.",Data inventory; DLP; classification workshop; legal review,"100% corpus objects мають owner, class, rights, retention, releasability і access policy.","100% corpus objects мають owner, class, rights, retention, releasability і access policy."
GOV-004,Governance,P0,UNVERIFIED_BLOCKER,"Немає незалежного TEVV, pentest і red-team",EXTERNAL_DEBT,,Self-confirming assurance: одна й та сама модель помилок у коді й тестах.,"Незалежний code review, API/cloud pentest, AI/RAG red-team, corpus poisoning exercise.",OWASP ASVS/API Top 10; OWASP GenAI; MITRE ATLAS; NIST Dioptra,Незалежний звіт без відкритих P0/P1 та з повторною перевіркою remediation.,Незалежний звіт без відкритих P0/P1 та з повторною перевіркою remediation.
GOV-005,Governance,P0,UNVERIFIED_BLOCKER,Немає офіційної моделі предметної відповідальності,MITIGATED_LOCAL,apps/api/src/korpus/security/reviewers.py | apps/api/migrations/versions/0009_reviewer_credentials.py | apps/api/tests/test_reviewer_registry.py,Неавторитетний reviewer може легалізувати неправильний документ.,"Registry reviewers/approvers, credential verification, COI policy, dual control, signed decisions.",PKI/e-sign; reviewer registry; workflow engine,Кожне approval криптографічно прив’язане до уповноваженої ролі та scope.,Кожне approval криптографічно прив’язане до уповноваженої ролі та scope.
GOV-006,Governance,P0,CONDITIONAL_RISK,"Права на індексацію, OCR, цитування й передачу документів не доведені",EXTERNAL_DEBT,,Юридичне блокування продукту та disclosure третім сторонам.,Провести rights clearance; заборонити external egress для неочищених класів.,Legal/IP review; data-processing agreements,Для кожного джерела зафіксовані дозволені операції та заборони.,Для кожного джерела зафіксовані дозволені операції та заборони.
IAM-002,Identity & Access,P0,VERIFIED_DEFECT,Production web-клієнт не реалізує OIDC,MITIGATED_LOCAL,apps/api/src/korpus/security/browser_oidc.py | apps/api/tests/test_browser_oidc.py | apps/web/public/app.js,Користувач не може безпечно автентифікуватися в production.,"Реалізувати Authorization Code + PKCE, secure token handling/BFF, logout, expiry/refresh/error states.",OIDC conformance suite; Playwright; BFF pattern,End-to-end OIDC login/logout/expiry/revocation проходить у staging.,End-to-end OIDC login/logout/expiry/revocation проходить у staging.
IAM-005,Identity & Access,P1,VERIFIED_DEFECT,OIDC assurance неповний,MITIGATED_LOCAL,apps/api/src/korpus/security/oidc.py | apps/api/tests/test_v5_security_kernel.py::test_oidc_assurance_requires_acr_mfa_and_recent_authentication,"Використання слабкої автентифікації, replay або токена не того client context.","Вимагати phishing-resistant MFA assurance, typ/azp, jti replay policy, revocation/CAE за можливості.",OIDC conformance; token replay tests,Негативні тести для stale/replayed/wrong-client/low-assurance tokens PASS.,Негативні тести для stale/replayed/wrong-client/low-assurance tokens PASS.
IAM-006,Identity & Access,P1,VERIFIED_DEFECT,"RLS залежить від session GUC, який встановлює застосунок",MITIGATED_LOCAL,apps/api/migrations/versions/0003_infrastructure_hardening.py | apps/api/tests/test_postgres_integration.py | .gitlab-ci.yml::api:postgres-and-restore,"RLS захищає від помилки query, але не від app compromise/SQL execution.",Винести authorization у signed session context або окремі DB roles; заборонити прямий SQL; перевірити role privileges.,PostgreSQL RLS tests; pgaudit; signed context,App role не може самостійно розширити effective claims навіть через довільний SQL.,App role не може самостійно розширити effective claims навіть через довільний SQL.
IAM-007,Identity & Access,P1,UNVERIFIED_BLOCKER,Немає lifecycle entitlement/offboarding,MITIGATED_LOCAL,apps/api/src/korpus/security/entitlements.py | apps/api/tests/test_v5_security_kernel.py::test_entitlement_profile_digest_and_deny_list_are_fail_closed,Звільнений/переведений користувач зберігає доступ.,"SCIM/IdP lifecycle, quarterly recertification, emergency revoke.","SCIM, IdP logs, access review",Disable/revoke propagation виміряна та відповідає SLA.,Disable/revoke propagation виміряна та відповідає SLA.
IAM-008,Identity & Access,P1,UNVERIFIED_BLOCKER,Немає PAM/break-glass control,EXTERNAL_DEBT,,Постійний надмірний привілей і невідтворювані адміністративні дії.,"JIT/PAM, two-person approval, break-glass runbook, immutable session logs.",PAM/Vault; SIEM,"Усі privileged sessions attributable, time-bounded і reviewed.","Усі privileged sessions attributable, time-bounded і reviewed."
ING-008,Ingestion & Parsers,P1,VERIFIED_DEFECT,Object store write не атомарний із metadata transaction,MITIGATED_LOCAL,apps/api/src/korpus/application/ingestion_jobs.py | apps/api/tests/test_durable_ingestion_jobs.py::test_object_inventory_reconciliation_detects_missing_and_orphaned_files,Накопичення неврахованих даних і retention/privacy drift.,Staging key + transactional outbox/commit marker + orphan reconciler/GC.,Saga/outbox; inventory reconciliation,Injected DB failure не лишає доступного orphan або GC видаляє його за SLA.,Injected DB failure не лишає доступного orphan або GC видаляє його за SLA.
ING-009,Ingestion & Parsers,P1,VERIFIED_DEFECT,Немає OCR/layout quality model,MITIGATED_LOCAL,apps/api/src/korpus/application/extraction_quality.py | apps/api/migrations/versions/0008_extraction_quality_governance.py | apps/api/tests/test_extraction_quality_governance.py,Цитата може бути формально привʼязана до хибного OCR.,"Layout-aware extraction, OCR confidence, low-confidence quarantine, visual review UI.",Document AI/layoutparser; OCR benchmarks,CER/WER/table extraction виміряні по stratified corpus; low confidence не auto-approve.,CER/WER/table extraction виміряні по stratified corpus; low confidence не auto-approve.
ING-012,Ingestion & Parsers,P1,UNVERIFIED_BLOCKER,Немає corpus-scale ingestion recovery drill,EXTERNAL_DEBT,,Масова міграція може зависнути або дати частковий корпус.,Run full-scale replay with injected failures and deterministic reconciliation.,Workflow engine; fault injection; load generator,100% source manifest reconciled; no missing/duplicate versions.,100% source manifest reconciled; no missing/duplicate versions.
RAG-001,Retrieval & Evidence,P0,VERIFIED_DEFECT,"Evaluation dataset є synthetic fixture, не production evidence",EXTERNAL_DEBT,,Високий pass rate не прогнозує реальну точність на українському корпусі.,Створити frozen stratified gold set із реальних документів і adversarial holdout.,Annotation platform; HELM-style scenario matrix; RAGChecker/ALCE metrics,"Blind holdout, human adjudication, versioned dataset, confidence intervals.","Blind holdout, human adjudication, versioned dataset, confidence intervals."
RAG-003,Retrieval & Evidence,P0,UNVERIFIED_BLOCKER,Немає human gold standard та inter-annotator agreement,EXTERNAL_DEBT,,"Невідомо, чи ground truth взагалі стабільний і предметно правильний.","Подвійна незалежна розмітка, adjudication, reviewer qualifications, ambiguity labels.",Label Studio/Argilla; statistical analysis,IAA threshold predefined; ambiguous cases excluded/separately scored.,IAA threshold predefined; ambiguous cases excluded/separately scored.
RAG-005,Retrieval & Evidence,P1,VERIFIED_DEFECT,Немає contradiction resolution між джерелами,MITIGATED_LOCAL,apps/api/src/korpus/application/evidence.py | apps/api/src/korpus/application/answer_query.py | apps/api/tests/test_v5_security_kernel.py::test_contradiction_gate_detects_negation_and_numeric_conflicts,Система обирає одну відповідь при невирішеному конфлікті.,"Conflict graph, issuer/jurisdiction precedence, explicit conflict abstention.",NLI contradiction; rule engine; temporal graph,Known conflict cases повертають conflict status і всі релевантні sources.,Known conflict cases повертають conflict status і всі релевантні sources.
RAG-007,Retrieval & Evidence,P1,VERIFIED_DEFECT,Authority priors є неперевіреними константами,MITIGATED_LOCAL,apps/api/src/korpus/application/calibration.py | apps/api/tests/test_v5_security_kernel.py::test_authority_priors_are_profile_inputs_not_hidden_constants,Скалярний prior може переважити релевантність і контекстну правову силу.,"Контекстна authority policy: document type, issuer competence, jurisdiction, date, task.",Policy rules + calibration/ablation,Ablation і domain validation доводять користь; priors versioned and approved.,Ablation і domain validation доводять користь; priors versioned and approved.
