query_id,query,label,evidence_span_ids,note
reference-000,speeches corporate notices stories statistics letters,,,
reference-001,implementation primarily guidance protection staff joint,,,
reference-002,concentrated match concentration isolated meets instead,,,
reference-003,cwix24 praise impressed professionalism amid representatives,,,
reference-004,sdrs injections functionality constant respond software,,,
reference-005,possibly vulnerability serves member assessment team,,,
reference-006,voluntarily withdrawing disengage committed preserve release,,,
reference-007,discuss concepts paragraphs offense basic common,,,
reference-008,greatest manage together options value risk,,,
reference-009,envision convey audience vision simultaneously sustain,,,
reference-010,organizational synchronize integrate resources leaders available,,,
reference-011,regard viable update changing continuously civil,,,
reference-012,nate configured loads ammunition artillery position,,,
reference-013,quantify draft input execution tasks fire,,,
reference-014,wiping exhalation reseal trapped seal debris,,,
reference-015,lthough tempting scratching irritation refrain insect,,,
reference-016,dislodging wrapper wound object much moving,,,
reference-017,deficits cervical neurologic spine stabilization indicated,,,
reference-018,canthotomy ophthalmology surgeon shield ship pages,,,
reference-019,secretions suction excess mouth tube needed,,,
reference-020,worse endotracheal intubation repeated attempts outcomes,,,
reference-021,exhales dioxide tidal carbon capnography endotracheal,,,
reference-022,точні одразу здійснюватись місцезнаходження оточення дані,,,
reference-023,пізнавальні символи наносяться номери знаки державні,,,
reference-024,cloak anonymity aggressively makers populations peer,,,
reference-025,want improve examples deception advantage some,,,
reference-026,booty decorations awards poses collects records,,,
reference-027,compiled grouping branch year define numbers,,,
reference-028,співпраці знищили десятки корабельно катерного російського,,,
reference-029,трепак сергійович бригадний олександр генерал контент,,,
reference-030,smog aeromedical guidelines evacuation medical standard,,,
reference-031,уроки вторгнення росії україну бойових ведення,,,
reference-032,допомагав потоплення москви зміїного великих операціях,,,
reference-033,модернізація сучасних створення умовах озброєння техніки,,,
reference-034,ьника зберігає ящиків ключі боєприпасами гарнізону,,,
reference-035,димарях пічних отворів топити печі години,,,
reference-036,авління військами протидії радіоелектронної зброєю силами,,,
reference-037,асто зустрічається корону щітку 330ж житель,,,
